#1
double Accelerator_open_per_MAP(33,18)
0	0	500	750	1000	1250	1500	1750	2000	2500	3000	3500	4000	4500	5000	5500	6000	6500
-30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
-10	0	0	0	0	0	11.09131403	11.64345404	11.64345404	12.56505576	14.41340782	20	22.1875	22.81609195	23.11926606	0	0	0
0	0	0	0	0	2.857142857	13.31848552	14.42896936	14.42896936	16.28252788	20	22.22222222	24.41964286	25.68965517	27.70642202	31.42857143	33.26599327	34.92385787
10	0	0	0	0	5.714285714	15.54565702	17.21448468	17.21448468	20	22.22222222	24.44444444	26.65178571	28.56321839	31.42857143	34.28571429	36.63299663	40
20	0	0	0	0	8.571428571	17.77282851	20	20	22.22222222	24.44444444	26.66666667	28.88392857	31.42857143	34.28571429	37.14285714	40	43.57142857
30	6.666666667	6.666666667	6.666666667	6.666666667	13.33333333	20	22.22222222	22.22222222	24.44444444	26.66666667	28.88888889	31.42857143	34.28571429	37.14285714	40	42.85714286	47.14285714
40	12.5	12.5	12.5	12.5	20	22.22222222	24.44444444	24.44444444	26.66666667	28.88888889	31.42857143	34.28571429	37.14285714	40	42.5	45.71428571	50.47619048
50	17.5	17.5	17.5	17.5	22.5	24.44444444	26.66666667	26.66666667	28.88888889	31.42857143	34.28571429	37.14285714	40	42.12765957	45	48.57142857	52.85714286
60	21.66666667	21.66666667	21.66666667	21.66666667	25	26.66666667	28.88888889	28.88888889	31.42857143	34.28571429	37.14285714	40	41.81818182	44.25531915	47.5	51.11111111	55.23809524
70	25	25	25	25	27.5	28.88888889	31.42857143	31.42857143	34.28571429	37.14285714	40	41.66666667	43.63636364	46.38297872	50	53.33333333	57.61904762
80	28.33333333	28.33333333	28.33333333	28.33333333	30	31.42857143	34.28571429	34.28571429	37.14285714	40	41.66666667	43.33333333	45.45454545	48.5106383	52	55.55555556	60
90	35.31914894	35.31914894	35.31914894	35.31914894	32.53807107	34.28571429	37.14285714	37.14285714	40	41.66666667	43.33333333	45	47.27272727	50.56603774	54	57.77777778	61.42857143
100	100	100	100	100	35.07614213	37.14285714	40	40	41.66666667	43.33333333	45	46.66666667	49.09090909	52.45283019	56	60	62.85714286
110	100	100	100	100	37.6142132	40	41.66666667	41.66666667	43.33333333	45	46.66666667	48.33333333	51	54.33962264	58	61.42857143	64.28571429
120	100	100	100	100	100	42.53164557	43.33333333	43.33333333	45	46.66666667	48.33333333	50	53	56.22641509	60	62.85714286	65.71428571
130	100	100	100	100	100	45.06329114	45	45	46.66666667	48.33333333	50	52	55	58.11320755	61.42857143	64.28571429	67.14285714
140	100	100	100	100	100	47.59493671	46.66666667	46.66666667	48.33333333	50	51.81818182	54	57	60	62.85714286	65.71428571	68.57142857
150	100	100	100	100	100	100	48.33333333	48.33333333	50	51.66666667	53.63636364	56	59	61.53846154	64.28571429	67.14285714	70
160	100	100	100	100	100	100	50	50	51.42857143	53.33333333	55.45454545	58	60.76923077	63.07692308	65.71428571	68.57142857	100
170	100	100	100	100	100	100	52.01612903	51.43472023	52.85714286	55	57.27272727	60	62.30769231	64.61538462	67.14285714	70	100
180	100	100	100	100	100	100	54.03225806	52.86944046	54.28571429	56.66666667	59.09090909	61.66666667	63.84615385	66.15384615	68.57142857	75.05050505	100
190	100	100	100	100	100	100	56.0483871	54.30416069	55.71428571	58.33333333	60.90909091	63.33333333	65.38461538	67.69230769	70	100	100
200	100	100	100	100	100	100	58.06451613	55.73888092	57.14285714	60	62.72727273	65	66.92307692	69.23076923	75.05050505	100	100
210	100	100	100	100	100	100	100	57.17360115	58.57142857	62.5	64.54545455	66.66666667	68.46153846	73.33333333	100	100	100
220	100	100	100	100	100	100	100	58.60832138	60	65	66.36363636	68.33333333	70	80	100	100	100
230	100	100	100	100	100	100	100	90	66.66666667	67.5	68.18181818	70	80	100	100	100	100
240	100	100	100	100	100	100	100	100	75	70	70	80	100	100	100	100	100
250	100	100	100	100	100	100	100	100	90	80	80	90	100	100	100	100	100
260	100	100	100	100	100	100	100	100	100	90	90	100	100	100	100	100	100
270	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
280	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100	100
