#1
double ENGINE_TRQ_MAP(18,12)
0	0	10	20	30	40	50	60	70	80	90	100
0	20	35	55	85	95	95	95	95	95	95	95
500	20	35	55	85	95	95	95	95	95	95	95
750	20	35	55	85	95	95	95	95	95	95	95
1000	20	35	55	85	95	95	95	95	95	95	95
1250	-10	25	40	80	120	120	120	120	120	120	120
1500	-15	-15	30	75	110	150	150	150	150	150	150
1750	-16	-16	20	65	100	160	210	210	210	210	210
2000	-16	-16	20	65	100	160	230	230	230	230	240
2500	-17	-17	10	55	90	150	220	235	245	250	260
3000	-18	-18	0	45	80	140	200	240	250	260	270
3500	-19	-19	-10	35	70	130	185	240	250	260	270
4000	-20	-20	-20	25	60	120	170	230	240	250	255
4500	-20	-20	-20	15	50	105	155	220	230	240	240
5000	-17	-17	-17	5	40	87	140	205	220	230	230
5500	-10	-10	-10	-5	30	70	120	190	210	210	210
6000	-10	-10	-10	-10	20	55	100	170	190	190	190
6500	-10	-10	-10	-10	10	38	80	150	160	160	160
